No. of Positions / Colour Marking as Shipped	RAST 5 Version	Part  Numbers - Standard	Part  Numbers - UL94V0	Part  Numbers - Glow Wire 750no flame	Packaging Unit
7 / Green		0-284487-1	1-284487-1	3-284487-1	1540
7 / Black		0-284487-2	1-284487-2	3-284487-2	1540
7 / Violet		0-284487-3	1-284487-3	3-284487-3	1540
8 / Green		0-284488-1	1-284488-1	3-284488-1	1320
8 / Black		0-284488-2	1-284488-2	3-284488-2	1320
8 / Violet		0-28488-3	1-284488-3	3-284488-3	1320
8 / Orange		0-284488-4	1-284488-4	3-284488-4	1320
9 / Green		0-284489-1	1-284489-1	3-284489-1	1100
9 / Black		0-284489-2	1-284489-2	3-284489-2	1100
9 / Violet		0-284489-3	1-284489-3	3-284489-3	1100
9 / Orange		0-284489-4	1-284489-4	3-284489-4	1100
