	product_category	attribute_name	attribute_value
0	AMPSEAL Connectors	Current	Up to 17 amps gold, up to 8 amps tin
1	AMPSEAL Connectors	Temperature	Operating at temperatures -40C to +125C for gold plated, -40C to +105C for tin plated
2	AMPSEAL Connectors	Durability	See note. Mate and unmate specimens for 10 cycles at maximum rate of 600 cycles per hour.
3	AMPSEAL Connectors	Physical Shock	No discontinuities of 1 microsecond or longer duration. TE Spec 109-26-1. Subject mated specimens to 50 Gs half-sine shock pulses of 11 milliseconds duration. Three shocks in each direction applied along 3 mutually perpendicular planes, 18 total shocks. See Fig 5 in TE product document 108-1329.
4	AMPSEAL Connectors	Insulation Resistance	100 megohms minimum. TE Spec 109-28-4. Test between adjacent contacts of mated specimens.
5	AMPSEAL Connectors	Immersion	Leakage current not to exceed 50 micro-amperes at 48 volts DC. TE Spec 109-74-5. Immerse specimens to a depth of 100 mm in 5% salt water at a temperature of 23  5 C for 1 hour. Check between adjacent circuits and each surface to reference electrode.
6	AMPSEAL Connectors	Random Vibration	See note. TE Spec 109-21-7, Condition G, except 10-500 Hz frequency range. Subject mated specimens to 10 Gs for 8 hours each plane.
7	AMPSEAL Connectors	Voltage	250 volts AC
8	AMPSEAL Connectors	Durability	TE Spec 109-27. Mate and unmate specimens for 10 cycles at maximum rate of 600 cycles per hour. See note.
9	AMPSEAL Connectors	Current Rating	Up to 17 amps gold, up to 8 amps tin, consult TE product document 108-1329.
10	AMPSEAL Connectors	Contact Retention	TE Spec 109-30. Apply an axial load of 115 N to contacts in the axial direction with wedge lock in locked position. Contacts shall not dislodge.
11	AMPSEAL Connectors	Crimp Tensile Strength	Contact Size  Tensile Strength:Size 20   80 lbsSize 18    90 lbsSize 16    150 lbs
12	AMPSEAL 16 Connectors	Current	Up to 13 amps
13	AMPSEAL 16 Connectors	Temperature	Operating at temperatures -40C to +125C
14	AMPSEAL 16 Connectors	Durability	See note. 50 cycles.
15	AMPSEAL 16 Connectors	Insulation Resistance	20 megohms minimum. SAE J2030 6.3. Insulation resistance at 1000 volts DC adjacent terminals measured after 60 seconds or until stabilization occurs.
16	AMPSEAL 16 Connectors	Immersion	IP67 rating
17	AMPSEAL 16 Connectors	Random Vibration	No discontinuities. See note. EIA-364-28 Subject mated specimens to 21 Gs rms between 25 to 2000 Hz. Twenty hours in each of three mutually perpendicular planes.
18	AMPSEAL 16 Connectors	Voltage	250 volts DC
19	AMPSEAL 16 Connectors	Durability	SAE J2030 6.11. 50 cycles. See note.
20	AMPSEAL 16 Connectors	Current Rating	Up to 13 amps, consult TE product document 108-2184.
21	AMPSEAL 16 Connectors	Contact Retention	IEC 512-8, Test 51a. Apply axial load of 111 N to contacts at a maximum rate of 10 N per second (or 50mm per minute) and hold for 10 seconds. Contacts shall not dislodge.
22	AMPSEAL 16 Connectors	Crimp Tensile Strength	USCAR 21 @ 50mm/min
