	product_category	part_number
0	INDUSTRIAL & 	161-168
1	INDUSTRIAL & 	223-228
2	INDUSTRIAL & 	248-252
3	INDUSTRIAL & 	195-207
4	INDUSTRIAL & 	145-160
5	INDUSTRIAL & 	239-240
6	INDUSTRIAL & 	169-180
7	INDUSTRIAL & 	242-247
8	INDUSTRIAL & 	181-190
9	INDUSTRIAL & 	205-208
10	Connector Series Overview	114-13045
11	Connector Series Overview	114-16016
12	Connector Series Overview	114-13065
13	Connector Series Overview	108-1329
14	Connector Series Overview	108-2184
15	Connector Series Overview	108-151009
16	Connector Series Overview	114-18255
17	Connector Series Overview	108-18621
18	Connector Series Overview	108-151010
19	Connector Series Overview	108-94020
20	Connector Series Overview	114-18756
21	Connector Series Overview	114-78011
22	Connector Series Overview	108-78140
23	Connector Series Overview	108-18696
24	Connector Series Overview	114-18376
25	AMPSEAL Connectors	109-21-7
26	AMPSEAL Connectors	408-3229
27	AMPSEAL Connectors	10-500
28	AMPSEAL Connectors	114-16016
29	AMPSEAL Connectors	408-9999
30	AMPSEAL Connectors	54285-2
31	AMPSEAL Connectors	408-9592
32	AMPSEAL Connectors	108-1329
33	AMPSEAL Connectors	1-776087-4
34	AMPSEAL Connectors	1-776087-5
35	AMPSEAL Connectors	1-776087-1
36	AMPSEAL Connectors	1-776087-2
37	AMPSEAL Connectors	1-776275-1
38	AMPSEAL Connectors	1-776275-2
39	AMPSEAL Connectors	776279-1
40	AMPSEAL Connectors	776279-2
41	AMPSEAL Connectors	1-770669-4
42	AMPSEAL Connectors	1-770669-5
43	AMPSEAL Connectors	1-770669-1
44	AMPSEAL Connectors	1-770669-2
45	AMPSEAL Connectors	770669-1
46	AMPSEAL Connectors	770669-2
47	AMPSEAL Connectors	1-776276-2
48	AMPSEAL Connectors	770669-5
49	AMPSEAL Connectors	1-776276-1
50	AMPSEAL Connectors	776280-1
51	AMPSEAL Connectors	776266-4
52	AMPSEAL Connectors	776280-2
53	AMPSEAL Connectors	776266-1
54	AMPSEAL Connectors	776266-2
55	AMPSEAL Connectors	1-776230-1
56	AMPSEAL Connectors	1-776230-2
57	AMPSEAL Connectors	1-776230-4
58	AMPSEAL Connectors	1-776230-5
59	AMPSEAL Connectors	776230-1
60	AMPSEAL Connectors	776273-5
61	AMPSEAL Connectors	776273-4
62	AMPSEAL Connectors	776230-4
63	AMPSEAL Connectors	776230-5
64	AMPSEAL Connectors	776273-1
65	AMPSEAL Connectors	776275-1
66	AMPSEAL Connectors	776275-2
67	AMPSEAL Connectors	776087-1
68	AMPSEAL Connectors	776087-2
69	AMPSEAL Connectors	776087-4
70	AMPSEAL Connectors	776087-5
71	AMPSEAL Connectors	776273-2
72	AMPSEAL Connectors	1-776200-5
73	AMPSEAL Connectors	1-776200-4
74	AMPSEAL Connectors	1-776200-1
75	AMPSEAL Connectors	1-776200-2
76	AMPSEAL Connectors	776267-1
77	AMPSEAL Connectors	776267-2
78	AMPSEAL Connectors	776267-4
79	AMPSEAL Connectors	776267-5
80	AMPSEAL Connectors	776228-2
81	AMPSEAL Connectors	776228-1
82	AMPSEAL Connectors	776228-5
83	AMPSEAL Connectors	776228-4
84	AMPSEAL Connectors	1-776180-6
